,Acari,Araneae,Blattodea,Chilopoda,Coleoptera,Coleoptera Larva,Collembola,Dermaptera,Diplopoda,Ensifera,Formicidae,Hemiptera,Heteroptera,Isópode,Isoptera,Larva,Lepidoptera Larva,Mosca,Opiliones,Orthoptera,Pterygota,Staphylinidae,Thysanoptera,Vespa
Aplastodiscus albosignatus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boana faber,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boana latistriata,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bokermannohyla luctuosa,1,2,1,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0
Chiasmocleis mantiqueira,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Dendropsophus microps,0,1,0,0,6,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,0
Dendropsophus minutus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Hylodes aff. sazimai,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ischnocnema guentheri,0,4,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ischnocnema holti,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Ischnocnema juipoca,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ischnocnema vizottoi,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Ololygon obtriangulata,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Paratelmatobius mantiqueira,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Physalaemus cuvieri,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Physalaemus olfersii,0,2,0,0,4,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,2,0,0
Proceratophrys boiei,1,0,0,1,11,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Proceratophrys itamari,0,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
Rhinella icterica,0,0,0,0,119,2,0,5,3,0,48,0,2,1,0,1,1,0,7,0,0,4,0,0
Rhinella ornata,0,0,0,0,7,0,0,0,1,0,59,1,0,0,0,0,0,0,1,0,0,0,0,0
Scinax aff. dolloi,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trachycephalus imitatrix,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0