,Boana faber,Boana prasina,Bokermannohyla luctuosa,Chiasmocleis mantiqueira,Hylodes aff. sazimai,Ischnocnema guentheri,Ischnocnema juipoca,Ololygon obtriangulata,Physalaemus olfersii,Proceratophrys boiei,Rhinella icterica,Scinax aff. dolloi
E_TA,0,0,0,3,0,2,0,1,2,0,0,1
E_TB,1,1,0,3,0,0,5,0,1,0,0,0
E_CAA,0,0,0,0,0,2,1,0,0,0,0,0
E_CAB,0,0,0,0,0,0,0,0,0,0,0,0
E_VLA,0,0,0,0,0,1,0,0,0,0,0,0
E_VLB,0,0,0,0,1,3,0,0,0,1,0,0
E_FA,0,0,1,6,0,1,2,0,0,1,0,1
E_FB,0,0,0,3,0,3,4,1,0,0,0,2
E_BVA,0,2,0,0,0,0,1,1,0,0,2,1
E_BVB,0,0,0,0,0,0,1,0,0,0,0,2