,Aplastodiscus albosignatus,Boana faber,Boana latistriata,Boana prasina,Bokermannohyla luctuosa,Chiasmocleis mantiqueira,Dendropsophus microps,Dendropsophus minutus,Hylodes aff. sazimai,Ischnocnema guentheri,Ischnocnema holti,Ischnocnema juipoca,Ischnocnema vizottoi,Odontophrynus americanus,Ololygon obtriangulata,Paratelmatobius mantiqueira,Physalaemus cuvieri,Physalaemus olfersii,Proceratophrys boiei,Proceratophrys itamari,Rhinella icterica,Rhinella ornata,Scinax aff. dolloi,Scinax aff. duartei,Trachycephalus imitatrix
E_TA,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0
E_TB,0,1,0,1,0,3,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
E_CAA,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
E_CAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E_VLA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E_VLB,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
E_FA,2,0,0,0,5,6,2,0,0,1,0,3,0,0,2,0,0,0,5,1,0,0,2,0,1
E_FB,0,0,0,0,2,3,1,0,0,3,0,4,0,0,4,0,0,0,1,0,0,0,4,0,0
E_BVA,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,1,0,0
E_BVB,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
M_CA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
M_CB,0,0,0,0,0,0,3,0,2,0,2,0,0,0,2,0,0,0,0,2,1,0,2,0,0
M_AA,2,0,0,0,1,1,5,0,0,0,0,0,0,0,6,0,0,4,1,1,0,0,7,0,1
M_AB,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,1,1
M_PA,0,0,0,0,3,0,1,0,0,0,0,0,2,0,2,0,0,0,2,0,1,0,1,0,0
M_PB,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,2,0,0,0,0
M_FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M_FB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M_BVA,1,0,5,2,7,0,2,1,5,3,1,0,0,1,2,1,1,0,3,1,5,1,0,1,0
M_BVB,0,1,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,5,4,0,1,1,10,0,0